YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2025-04,WEEKDAY,17,TRAIN,NS14,42780,60968
2025-04,WEEKDAY,11,TRAIN,DT6,7050,7266
2025-04,WEEKENDS/HOLIDAY,8,TRAIN,CC27,287,1984
2025-04,WEEKENDS/HOLIDAY,20,TRAIN,PE6,2196,2855
2025-04,WEEKENDS/HOLIDAY,8,TRAIN,NE15,11413,4169
2025-04,WEEKENDS/HOLIDAY,21,TRAIN,EW15,9351,3775
2025-04,WEEKDAY,14,TRAIN,EW22,15321,9614
2025-04,WEEKDAY,14,TRAIN,NE9,21697,18138
2025-04,WEEKDAY,23,TRAIN,NE16/STC,4735,20099
2025-04,WEEKDAY,7,TRAIN,CC28,10462,4786
2025-04,WEEKDAY,10,TRAIN,NE7/DT12,19203,31999
2025-04,WEEKENDS/HOLIDAY,11,TRAIN,EW14/NS26,8313,12754
2025-04,WEEKENDS/HOLIDAY,17,TRAIN,EW29,13808,6528
2025-04,WEEKENDS/HOLIDAY,6,TRAIN,TE28,488,104
2025-04,WEEKDAY,16,TRAIN,CC21,12633,13081
2025-04,WEEKENDS/HOLIDAY,22,TRAIN,DT6,635,1848
2025-04,WEEKENDS/HOLIDAY,0,TRAIN,PW7,58,156
2025-04,WEEKDAY,10,TRAIN,EW1,29906,11752
2025-04,WEEKDAY,20,TRAIN,EW1,14159,48259
2025-04,WEEKDAY,14,TRAIN,DT8,11933,5486
2025-04,WEEKENDS/HOLIDAY,0,TRAIN,CC20,15,119
2025-04,WEEKENDS/HOLIDAY,5,TRAIN,CC3,24,4
2025-04,WEEKENDS/HOLIDAY,11,TRAIN,TE13,2089,2141
2025-04,WEEKENDS/HOLIDAY,23,TRAIN,EW20,706,2491
2025-04,WEEKENDS/HOLIDAY,13,TRAIN,EW23,24280,23345
2025-04,WEEKDAY,23,TRAIN,BP6/DT1,2354,20416
2025-04,WEEKDAY,13,TRAIN,CC2,5362,9294
2025-04,WEEKENDS/HOLIDAY,21,TRAIN,BP4,308,904
2025-04,WEEKDAY,14,TRAIN,NS20,42389,42336
2025-04,WEEKENDS/HOLIDAY,12,TRAIN,DT7,2306,1648
2025-04,WEEKENDS/HOLIDAY,0,TRAIN,DT17,41,52
2025-04,WEEKENDS/HOLIDAY,5,TRAIN,BP4,293,89
2025-04,WEEKENDS/HOLIDAY,6,TRAIN,CC7,1307,752
2025-04,WEEKENDS/HOLIDAY,22,TRAIN,DT13,3428,3336
